survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link,citation
aes1998,,Australia,,,,1998,,,,dataverse,aes,aes1998,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/FFBWUU,,,,"Bean, Clive; Gow, David; McAllister, Ian, 2017, ``Australian Election Study, 1998"", doi:10.4225/87/FFBWUU, ADA Dataverse, V2, UNF:6:pmAXB4lfnfvlseqWTWKOkg=="
aes2001,,Australia,,,,2001,,,,dataverse,aes,aes2001,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/CALXMK,,,,"Bean, Clive; Gow, David; McAllister, Ian, 2017, ``Australian Election Study, 2001"", doi:10.4225/87/CALXMK, ADA Dataverse, V1, UNF:6:8dudxHV83HO/5+itv3DNjA=="
aes2004,,Australia,,,,2004,,,,dataverse,aes,aes2004,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/G9ITIO,,,,"Bean, Clive; McAllister, Ian; Gibson, Rachel; Gow, David, 2017, ``Australian Election Study, 2004"", doi:10.4225/87/G9ITIO, ADA Dataverse, V1, UNF:6:Qer+KzJrJC+zlC3Gm6qDmw=="
aes2007,,Australia,,,,2007,,,,dataverse,aes,aes2007,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/ZBUOW0,,,,"Bean, Clive; McAllister, Ian; Gow, David, 2017, ``Australian Election Study, 2007"", doi:10.4225/87/ZBUOW0, ADA Dataverse, V1, UNF:6:D7a6fhN+szVMSQF9xIh5+A=="
aes2010,,Australia,,,,2010,,,weight2,dataverse,aes,aes2010,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/CYJNSM,,,,"McAllister, Ian; Bean, Clive; Gibson, Rachel Kay; Pietsch, Juliet, 2017, ``Australian Election Study, 2010"", doi:10.4225/87/CYJNSM, ADA Dataverse, V2, UNF:6:3iyzr2dBihOrVkbafFkRZA=="
aes2013,,Australia,,,,2013,,,weight,dataverse,aes,aes2013,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/WDBBAS,,,,"Bean, Clive; McAllister, Ian; Pietsch, Juliet; Gibson, Rachel Kay, 2017, ``Australian Election Study, 2013"", doi:10.4225/87/WDBBAS, ADA Dataverse, V3, UNF:6:6gMySFLvbEH1ccG58om4Sg=="
aes2016,,Australia,,,,2016,,,wt_enrol,dataverse,aes,aes2016,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/7OZCZA,,,,"McAllister, Ian; Makkai, Toni; Bean, Clive; Gibson, Rachel Kay, 2017, ``Australian Election Study, 2016"", doi:10.4225/87/7OZCZA, ADA Dataverse, V2, UNF:6:TNnUHDn0ZNSlIM94TQphWw=="
aes2019,,Australia,,,,2019,,,wt_pooled,dataverse,aes,aes2019,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.26193/KMAMMW,,,,"McAllister, Ian; Bean, Clive; Gibson, Rachel; Makkai, Toni; Sheppard, Jill; Cameron, Sarah, 2019, ``Australian Election Study, 2019"", doi:10.26193/KMAMMW, ADA Dataverse, V2"
afrob1,,country,,,,,,"tibble(orig=c(""Botswana"",""Ghana"",""Lesotho"",""Malawi"",""Mali"",""Namibia"",""Nigeria"",""South Africa"",""Tanzania"",""Uganda"",""Zambia"",""Zimbabwe""),year=c(1999,1999,2000,1999,2001,1999,2000,2000,2001,2000,2000,1999))",withinwt,misc,afrob,afrob1,,https://afrobarometer.org/sites/default/files/data/round-1/merged_r1_data.sav,https://afrobarometer.org/sites/default/files/data/round-1/merged_r1_codebook2.pdf,,,"Afrobarometer, 2004, Afrobarometer Merged Round 1 Data (12 countries) (1999-2001) [Dataset]"
afrob2,,country,,,,,dateintr,,withinwt,misc,afrob,afrob2,,https://afrobarometer.org/sites/default/files/data/round-2/merged_r2_data.sav,https://afrobarometer.org/sites/default/files/data/round-2/merged_r2_codebook2.pdf,,,"Afrobarometer, 2006, Afrobarometer Merged Round 2 Data (16 countries) (2004) [Dataset]"
afrob3,,country,,,,,dateintr,,withinwt,misc,afrob,afrob3,,https://afrobarometer.org/sites/default/files/data/round-3/merged_r3_data.sav,https://afrobarometer.org/sites/default/files/data/round-3/merged_r3_codebook2_0.pdf,,,"Afrobarometer, 2008, Afrobarometer Merged Round 3 Data (18 countries) (2005) [Dataset]"
afrob4,,country,,,,,dateintr,,withinwt,misc,afrob,afrob4,,https://afrobarometer.org/sites/default/files/data/round-4/merged_r4_data.sav,https://afrobarometer.org/sites/default/files/data/round-4/merged_r4_codebook3.pdf,,,"Afrobarometer, 2010, Afrobarometer Merged Round 4 Data (20 countries) (2008) [Dataset]"
afrob5,,country,,,,,dateintr,,withinwt,misc,afrob,afrob5,,http://afrobarometer.org/sites/default/files/data/round-5/merged-round-5-data-34-countries-2011-2013-last-update-july-2015.sav,http://afrobarometer.org/sites/default/files/data/round-5/merged_r5_codebook_2.pdf,,,"Afrobarometer, 2015, Afrobarometer Merged Round 5 Data (34 countries) (2011-2013) [Dataset]"
afrob6,,country,,,,,dateintr,,withinwt,misc,afrob,afrob6,,http://afrobarometer.org/sites/default/files/data/round-6/merged_r6_data_2016_36countries2.sav,http://afrobarometer.org/sites/default/files/data/round-6/merged_round_6_codebook_2016_repost042018.pdf,,,"Afrobarometer, 2016, Afrobarometer Merged Round 6 Data (36 countries) (2016) [Dataset]"
afrob7,,country,,,,,dateintr,,withinwt,misc,afrob,afrob7,,http://afrobarometer.org/sites/default/files/data/round-7/r7_merged_data_34ctry.release.sav,,,,"Afrobarometer, 2020, Afrobarometer Merged Round 7 Data (34 countries) (2019) [Dataset]"
afrob8,,country,,,,,dateintr,,withinwt_hh,misc,afrob,afrob8,,https://www.afrobarometer.org/wp-content/uploads/2023/03/afrobarometer_release-dataset_merge-34ctry_r8_en_2023-03-01.sav,,,,"Afrobarometer, 2023, Afrobarometer Merged Round 8 Data (34 countries) (2022) [Dataset]"
allbus,,Germany,,,,,year,,wghtptew,gesis,allbus,ZA5276,,,,,,"GESIS - Leibniz Institute for the Social Sciences (2020): German General Social Survey (ALLBUS) — Cumulation 1980-2018. GESIS Data Archive, Cologne. ZA5276 Data file Version 1.0.0, https://doi.org/10.4232/1.13483 "
allbus2021,,Germany,,,,2021,,,wghtpew,gesis,allbus,ZA5280,,,,,,"GESIS - Leibniz-Institut fu_r Sozialwissenschaften (2022): Allgemeine Bevölkerungsumfrage der Sozialwissenschaften ALLBUS 2021. GESIS Datenarchiv, Köln. ZA5280 Datenfile Version 2.0.0, http://dx.doi.org/10.4232/1.14002 id"
amb_antigua2016,,Antigua,,,,2016,,,wt,misc,amb,amb_antigua2016,,http://datasets.americasbarometer.org/database/files/2123276248Antigua%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,,,LAPOP (2018) Antigua LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_argentina2010,,Argentina,,,,2010,,,,misc,amb,amb_argentina2010,,http://datasets.americasbarometer.org/database/files/924077670Argentina_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v3.dta,,,,LAPOP (2020) Argentina LAPOP AmericasBarometer 2010 v3.0 [Dataset]
amb_argentina2012,,Argentina,,,,2012,,,wt,misc,amb,amb_argentina2012,,http://datasets.americasbarometer.org/database/files/1240357522Argentina%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,,,LAPOP (2020) Argentina LAPOP AmericasBarometer 2012 rev 1 [Dataset]
amb_argentina2014,,Argentina,,,,2014,,,wt,misc,amb,amb_argentina2014,,http://datasets.americasbarometer.org/database/files/1757856948Argentina%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,,,LAPOP (2020) Argentina LAPOP AmericasBarometer 2014 v3.0 [Dataset]
amb_argentina2016,,Argentina,,,,2017,,,wt,misc,amb,amb_argentina2016,,http://datasets.americasbarometer.org/database/files/42076439Argentina%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,,,LAPOP (2018) Argentina LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_argentina2018,,Argentina,,,,2019,,,wt,misc,amb,amb_argentina2018,,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,,,LAPOP (2020) Argentina LAPOP AmericasBarometer 2018 v1.0 [Dataset]
amb_argentina2021,,Argentina,,,,2021,,,wt,misc,amb,amb_argentina2021,,http://datasets.americasbarometer.org/database/files/Argentina%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABArg2021-Argentina-Questionnaire-v15.0.5.0-Spa-210129-W.pdf,,,
amb_argentina2023,,Argentina,,,,2023,,,wt,misc,amb,amb_argentina2023,,http://datasets.americasbarometer.org/database/files/ARG_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABArg2023-Argentina-Questionnaire-V9.2.3.1-Spa-230530-W.pdf,,,LAPOP (2023) Argentina LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_bahamas2023,,Bahamas,,,,2023,,,wt,misc,amb,amb_bahamas2023,,http://datasets.americasbarometer.org/database/files/BHS_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABBhs2023-Bahamas-Questionnaire-V9.3.3.0-Eng-230310-W.pdf,,,LAPOP (2023) Bahamas LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_belize2023,,Belize,,,,2023,,,wt,misc,amb,amb_belize2023,,http://datasets.americasbarometer.org/database/files/BLZ_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABBlz2023-Belize-Questionnaire-V9.3.3.0-Eng-230925-W.pdf,,,LAPOP (2023) Belize LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_bolivia2010,,Bolivia,,,,2010,,,wt,misc,amb,amb_bolivia2010,,http://datasets.americasbarometer.org/database/files/1748144313Bolivia_LAPOP_AmericasBarometer%202010%20data%20set%20%20approved%20v3.dta,,,,LAPOP (2020) Bolivia LAPOP AmericasBarometer 2010 v3.0 [Dataset]
amb_bolivia2012,,Bolivia,,,,2012,,,wt,misc,amb,amb_bolivia2012,,http://datasets.americasbarometer.org/database/files/1852710534Bolivia%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,,,LAPOP (2020) Bolivia LAPOP AmericasBarometer 2012 rev 1 [Dataset]
amb_bolivia2014,,Bolivia,,,,2014,,,wt,misc,amb,amb_bolivia2014,,http://datasets.americasbarometer.org/database/files/1140434363Bolivia%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,,,LAPOP (2020) Bolivia LAPOP AmericasBarometer 2014 v3.0 [Dataset]
amb_bolivia2016,,Bolivia,,,,2017,,,wt,misc,amb,amb_bolivia2016,,http://datasets.americasbarometer.org/database/files/142790203Bolivia%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,,,LAPOP (2018) Bolivia LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_bolivia2018,,Bolivia,,,,2019,,,wt,misc,amb,amb_bolivia2018,,http://datasets.americasbarometer.org/database/files/Bolivia%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,,,,LAPOP (2020) Bolivia LAPOP AmericasBarometer 2018 v1.0 [Dataset]
amb_bolivia2021,,Bolivia,,,,2021,,,wt,misc,amb,amb_bolivia2021,,http://datasets.americasbarometer.org/database/files/Bolivia%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABBol2021-Bolivia-Questionnaire-v17.3.3.1-Spa-210414-W.pdf,,,
amb_bolivia2023,,Bolivia,,,,2023,,,wt,misc,amb,amb_bolivia2023,,http://datasets.americasbarometer.org/database/files/BOL_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABBol2023-Bolivia-Questionnaire-V9.2.3.1-Spa-230419-W.pdf,,,LAPOP (2023) Bolivia LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_brazil2016,,Brazil,,,,2017,,,wt,misc,amb,amb_brazil2016,,http://datasets.americasbarometer.org/database/files/780314464Brazil%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,,,LAPOP (2018) Brazil LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_brazil2018,,Brazil,,,,2019,,,wt,misc,amb,amb_brazil2018,,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,,,LAPOP (2020) Brazil LAPOP AmericasBarometer 2018 v1.0 [Dataset]
amb_brazil2021,,Brazil,,,,2021,,,wt,misc,amb,amb_brazil2021,,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABBra2021-Brazil-Questionnaire-v17.5.2.2-Por-210525_W.pdf,,,
amb_brazil2023,,Brazil,,,,2023,,,wt,misc,amb,amb_brazil2023,,http://datasets.americasbarometer.org/database/files/BRA_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABBra2023-Brazil-Questionnaire-V9.3.3.3-Por-230602-W.pdf,,,LAPOP (2023) Brazil LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_canada2010,,Canada,,,,2010,,,wt,misc,amb,amb_canada2010,,http://datasets.americasbarometer.org/database/files/1183322032Canada_LAPOP_AmericasBarometer%202010%20data%20set%20%20original%20v2.dta,,,,LAPOP (2020) Canada LAPOP AmericasBarometer 2010 v2.0 [Dataset]
amb_canada2012,,Canada,,,,2012,,,wt,misc,amb,amb_canada2012,,http://datasets.americasbarometer.org/database/files/1921596816Canada%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,,,LAPOP (2020) Canada LAPOP AmericasBarometer 2012 rev 1 [Dataset]
amb_canada2014,,Canada,,,,2014,,,wt,misc,amb,amb_canada2014,,http://datasets.americasbarometer.org/database/files/1490134740Canada%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,,,LAPOP (2020) Canada LAPOP AmericasBarometer 2014 v3.0 [Dataset]
amb_canada2016,,Canada,,,,2017,,,wt,misc,amb,amb_canada2016,,http://datasets.americasbarometer.org/database/files/576555173Canada%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,,,LAPOP (2018) Canada LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_canada2018,,Canada,,,,2019,,,wt,misc,amb,amb_canada2018,,http://datasets.americasbarometer.org/database/files/Canada%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,,,,LAPOP (2020) Canada LAPOP AmericasBarometer 2018 v1.0 [Dataset]
amb_canada2021,,Canada,,,,2021,,,wt,misc,amb,amb_canada2021,,http://datasets.americasbarometer.org/database/files/Canada%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABCan2021-Canada-Questionnaire-v17.5.4.5-Eng-210702_W.pdf,,,
amb_canada2023,,Canada,,,,2023,,,wt,misc,amb,amb_canada2023,,http://datasets.americasbarometer.org/database/files/CAN_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABCan2023-Canada-Questionnaire-v9.3.5.0-Eng-230815-W.pdf,,,LAPOP (2023) Canada LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_chile2010,,Chile,,,,2010,,,wt,misc,amb,amb_chile2010,,http://datasets.americasbarometer.org/database/files/1217681709Chile_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v4.dta,,,,LAPOP (2020) Chile LAPOP AmericasBarometer 2010 v4.0 [Dataset]
amb_chile2012,,Chile,,,,2012,,,wt,misc,amb,amb_chile2012,,http://datasets.americasbarometer.org/database/files/420502678Chile%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,,,,LAPOP (2020) Chile LAPOP AmericasBarometer 2012 rev 1 [Dataset]
amb_chile2014,,Chile,,,,2014,,,wt,misc,amb,amb_chile2014,,http://datasets.americasbarometer.org/database/files/553131127Chile%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,,,,LAPOP (2020) Chile LAPOP AmericasBarometer 2014 v3.0 [Dataset]
amb_chile2016,,Chile,,,,2017,,,wt,misc,amb,amb_chile2016,,http://datasets.americasbarometer.org/database/files/336280178Chile%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,,,,LAPOP (2018) Chile LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_chile2018,,Chile,,,,2019,,,wt,misc,amb,amb_chile2018,,http://datasets.americasbarometer.org/database/files/Chile%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,,,,LAPOP (2020) Chile LAPOP AmericasBarometer 2018 v1.0 [Dataset]
amb_chile2021,,Chile,,,,2021,,,wt,misc,amb,amb_chile2021,,http://datasets.americasbarometer.org/database/files/Chile%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABChl2021-Chile-Questionnaire-v16.2.4.1-Spa-210217-W.pdf,,,
amb_chile2023,,Chile,,,,2023,,,wt,misc,amb,amb_chile2023,,http://datasets.americasbarometer.org/database/files/CHL_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABChl2023-Chile-Questionnaire-V9.2.2.2-Spa-230605-W.pdf,,,LAPOP (2023) Chile LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_colombia2005,,Colombia,,,,2005,,,,misc,amb,amb_colombia2005,,http://datasets.americasbarometer.org/database/files/84187789Colombia2005_Rev1_W.dta,,,,
amb_colombia2007,,Colombia,,,,2007,,,,misc,amb,amb_colombia2007,,http://datasets.americasbarometer.org/database/files/274715745Colombia2007_Rev1_W.dta,,,,
amb_colombia2009,,Colombia,,,,2009,,,,misc,amb,amb_colombia2009,,http://datasets.americasbarometer.org/database/files/754888614Colombia2009_Rev1_W.dta,,,,LAPOP (2020) Colombia LAPOP AmericasBarometer 2009 rev 1.0 [Dataset]
amb_colombia2011,,Colombia,,,,2011,,,,misc,amb,amb_colombia2011,,http://datasets.americasbarometer.org/database/files/1329454000Colombia2011_Rev1_W.dta,,,,LAPOP (2020) Colombia LAPOP AmericasBarometer 2011 rev 1.0 [Dataset]
amb_colombia2013,,Colombia,,,,2013,,,,misc,amb,amb_colombia2013,,http://datasets.americasbarometer.org/database/files/1734936926Colombia%20LAPOP%202013_W.dta,,,,
amb_colombia2016,,Colombia,,,,2016,,,wt,misc,amb,amb_colombia2016,,http://datasets.americasbarometer.org/database/files/1966987763Colombia%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,,,LAPOP (2018) Colombia LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_colombia2018,,Colombia,,,,2018,,,wt,misc,amb,amb_colombia2018,,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202018%20_Codebook_v1.0_W.pdf,,,
amb_colombia2021,,Colombia,,,,2021,,,wt,misc,amb,amb_colombia2021,,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABCol2021-Colombia-Questionnaire-v17.1.2.5-Spa-210413-W.pdf,,,
amb_colombia2023,,Colombia,,,,2023,,,wt,misc,amb,amb_colombia2023,,http://datasets.americasbarometer.org/database/files/COL_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABCol2023-Colombia-Questionnaire-V9.2.3.0-Spa-230511-W.pdf,,,LAPOP (2023) Colombia LAPOP AmericasBarometer 2023 v1.0 [Dataset]
amb_combo,,pais,,,,,year,,wt,misc,amb,amb_combo,,http://datasets.americasbarometer.org/database/files/2004-2018%20LAPOP%20AmericasBaometer%20Merge_FREE_V1.0_W.zip,http://datasets.americasbarometer.org/database/files/2004-2018%20LAPOP%20AmericasBarometer%20Merge_Codebook_v1.0_FREE_W.pdf,,,"LAPOP (2020) 2004-2018 LAPOP AmericasBarometer Merge, v1.0FREE [Dataset]"
amb_combo2014,,pais,,,,,year,,wt,misc,amb,amb_combo2014,,http://datasets.americasbarometer.org/database/files/746278534AmericasBarometer%20Grand%20Merge%202004-2014%20v3.0_FREE_dta.zip,http://datasets.americasbarometer.org/database/files/12364388022004-2014%20Grand%20Merge%20Codebook_V3.0_Free_W.pdf,,,
amb_costarica2016,,Costa Rica,,,,2016,,,wt,misc,amb,amb_costarica2016,,http://datasets.americasbarometer.org/database/files/1636511905CostaRica%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,,,,LAPOP (2018) Costa Rica LAPOP AmericasBarometer 2016 v1.0 [Dataset]
amb_costarica2018,,Costa Rica,,,,2018,,,wt,misc,amb,amb_costarica2018,,http://datasets.americasbarometer.org/database/files/CostaRica%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,,,,LAPOP (2020) Costa Rica LAPOP AmericasBarometer 2018 v1.0 [Dataset]
amb_costarica2021,,Costa Rica,,,,2021,,,wt,misc,amb,amb_costarica2021,,http://datasets.americasbarometer.org/database/files/CostaRica%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABCri2021-Costa-Rica-Questionnaire-v16.2.5.0-Spa-210309-W.pdf,,,
amb_costarica2023,,Costa Rica,,,,2023,,,wt,misc,amb,amb_costarica2023,,http://datasets.americasbarometer.org/database/files/CRI_2023_LAPOP_AmericasBarometer_v1.0_w.dta,http://datasets.americasbarometer.org/database/files/ABCri2023-Costa%20Rica-Questionnaire-V9.2.5.0-Spa-230725-W.pdf,,,LAPOP (2023) Costa Rica LAPOP AmericasBarometer 2023 v1.0 [Dataset]
