,survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args,link
71,amb_bolivia2021,NA,Bolivia,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_bolivia2021,NA,http://datasets.americasbarometer.org/database/files/Bolivia%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABBol2021-Bolivia-Questionnaire-v17.3.3.1-Spa-210414-W.pdf,NA,NA
72,amb_brazil2016,NA,Brazil,NA,NA,NA,2017,NA,NA,wt,misc,amb,amb_brazil2016,NA,http://datasets.americasbarometer.org/database/files/780314464Brazil%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,NA,NA,NA
73,amb_brazil2018,NA,Brazil,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_brazil2018,NA,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,NA,NA
74,amb_brazil2021,NA,Brazil,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_brazil2021,NA,http://datasets.americasbarometer.org/database/files/Brazil%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABBra2021-Brazil-Questionnaire-v17.5.2.2-Por-210525_W.pdf,NA,NA
75,amb_canada2010,NA,Canada,NA,NA,NA,2010,NA,NA,wt,misc,amb,amb_canada2010,NA,http://datasets.americasbarometer.org/database/files/1183322032Canada_LAPOP_AmericasBarometer%202010%20data%20set%20%20original%20v2.dta,NA,NA,NA
76,amb_canada2012,NA,Canada,NA,NA,NA,2012,NA,NA,wt,misc,amb,amb_canada2012,NA,http://datasets.americasbarometer.org/database/files/1921596816Canada%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,NA,NA,NA
77,amb_canada2014,NA,Canada,NA,NA,NA,2014,NA,NA,wt,misc,amb,amb_canada2014,NA,http://datasets.americasbarometer.org/database/files/1490134740Canada%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,NA,NA,NA
78,amb_canada2016,NA,Canada,NA,NA,NA,2017,NA,NA,wt,misc,amb,amb_canada2016,NA,http://datasets.americasbarometer.org/database/files/576555173Canada%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,NA,NA,NA
79,amb_canada2018,NA,Canada,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_canada2018,NA,http://datasets.americasbarometer.org/database/files/Canada%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,NA,NA,NA
80,amb_canada2021,NA,Canada,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_canada2021,NA,http://datasets.americasbarometer.org/database/files/Canada%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABCan2021-Canada-Questionnaire-v17.5.4.5-Eng-210702_W.pdf,NA,NA
81,amb_chile2010,NA,Chile,NA,NA,NA,2010,NA,NA,wt,misc,amb,amb_chile2010,NA,http://datasets.americasbarometer.org/database/files/1217681709Chile_LAPOP_AmericasBarometer%202010%20data%20set%20approved%20v4.dta,NA,NA,NA
82,amb_chile2012,NA,Chile,NA,NA,NA,2012,NA,NA,wt,misc,amb,amb_chile2012,NA,http://datasets.americasbarometer.org/database/files/420502678Chile%20LAPOP%20AmericasBarometer%202012%20Rev1_W.dta,NA,NA,NA
83,amb_chile2014,NA,Chile,NA,NA,NA,2014,NA,NA,wt,misc,amb,amb_chile2014,NA,http://datasets.americasbarometer.org/database/files/553131127Chile%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,NA,NA,NA
84,amb_chile2016,NA,Chile,NA,NA,NA,2017,NA,NA,wt,misc,amb,amb_chile2016,NA,http://datasets.americasbarometer.org/database/files/336280178Chile%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,NA,NA,NA
85,amb_chile2018,NA,Chile,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_chile2018,NA,http://datasets.americasbarometer.org/database/files/Chile%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,NA,NA,NA
86,amb_chile2021,NA,Chile,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_chile2021,NA,http://datasets.americasbarometer.org/database/files/Chile%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABChl2021-Chile-Questionnaire-v16.2.4.1-Spa-210217-W.pdf,NA,NA
87,amb_colombia2005,NA,Colombia,NA,NA,NA,2005,NA,NA,NA,misc,amb,amb_colombia2005,NA,http://datasets.americasbarometer.org/database/files/84187789Colombia2005_Rev1_W.dta,NA,NA,NA
88,amb_colombia2007,NA,Colombia,NA,NA,NA,2007,NA,NA,NA,misc,amb,amb_colombia2007,NA,http://datasets.americasbarometer.org/database/files/274715745Colombia2007_Rev1_W.dta,NA,NA,NA
89,amb_colombia2009,NA,Colombia,NA,NA,NA,2009,NA,NA,NA,misc,amb,amb_colombia2009,NA,http://datasets.americasbarometer.org/database/files/754888614Colombia2009_Rev1_W.dta,NA,NA,NA
90,amb_colombia2011,NA,Colombia,NA,NA,NA,2011,NA,NA,NA,misc,amb,amb_colombia2011,NA,http://datasets.americasbarometer.org/database/files/1329454000Colombia2011_Rev1_W.dta,NA,NA,NA
91,amb_colombia2013,NA,Colombia,NA,NA,NA,2013,NA,NA,NA,misc,amb,amb_colombia2013,NA,http://datasets.americasbarometer.org/database/files/1734936926Colombia%20LAPOP%202013_W.dta,NA,NA,NA
92,amb_colombia2016,NA,Colombia,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_colombia2016,NA,http://datasets.americasbarometer.org/database/files/1966987763Colombia%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
93,amb_colombia2018,NA,Colombia,NA,NA,NA,2018,NA,NA,wt,misc,amb,amb_colombia2018,NA,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202018%20_Codebook_v1.0_W.pdf,NA,NA
94,amb_colombia2021,NA,Colombia,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_colombia2021,NA,http://datasets.americasbarometer.org/database/files/Colombia%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABCol2021-Colombia-Questionnaire-v17.1.2.5-Spa-210413-W.pdf,NA,NA
95,amb_combo,NA,pais,NA,NA,NA,NA,year,NA,wt,misc,amb,amb_combo,NA,http://datasets.americasbarometer.org/database/files/2004-2018%20LAPOP%20AmericasBaometer%20Merge_FREE_V1.0_W.zip,http://datasets.americasbarometer.org/database/files/2004-2018%20LAPOP%20AmericasBarometer%20Merge_Codebook_v1.0_FREE_W.pdf,NA,NA
96,amb_combo2014,NA,pais,NA,NA,NA,NA,year,NA,wt,misc,amb,amb_combo2014,NA,http://datasets.americasbarometer.org/database/files/746278534AmericasBarometer%20Grand%20Merge%202004-2014%20v3.0_FREE_dta.zip,http://datasets.americasbarometer.org/database/files/12364388022004-2014%20Grand%20Merge%20Codebook_V3.0_Free_W.pdf,NA,NA
97,amb_costarica2016,NA,Costa Rica,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_costarica2016,NA,http://datasets.americasbarometer.org/database/files/1636511905CostaRica%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
98,amb_costarica2018,NA,Costa Rica,NA,NA,NA,2018,NA,NA,wt,misc,amb,amb_costarica2018,NA,http://datasets.americasbarometer.org/database/files/CostaRica%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,NA,NA,NA
99,amb_costarica2021,NA,Costa Rica,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_costarica2021,NA,http://datasets.americasbarometer.org/database/files/CostaRica%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABCri2021-Costa-Rica-Questionnaire-v16.2.5.0-Spa-210309-W.pdf,NA,NA
100,amb_dominica2016,NA,Dominica,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_dominica2016,NA,http://datasets.americasbarometer.org/database/files/534210736Dominica%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
101,amb_dominicanrepublic2016,NA,Dominican Republic,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_dominicanrepublic2016,NA,http://datasets.americasbarometer.org/database/files/919009550Dominican%20Republic%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
102,amb_dominicanrepublic2018,NA,Dominican Republic,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_dominicanrepublic2018,NA,http://datasets.americasbarometer.org/database/files/DominicanRepublic%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,NA,NA,NA
103,amb_dominicanrepublic2021,NA,Dominican Republic,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_dominicanrepublic2021,NA,http://datasets.americasbarometer.org/database/files/DominicanRepublic%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABDom2021-Dominican-Republic-Questionnaire-v17.2.2.3-Spa-210323-W.pdf,NA,NA
104,amb_ecuador2014,NA,Ecuador,NA,NA,NA,2014,NA,NA,wt,misc,amb,amb_ecuador2014,NA,http://datasets.americasbarometer.org/database/files/244461055Ecuador%20LAPOP%20AmericasBarometer%202014%20v3.0_W.dta,NA,NA,NA
105,amb_ecuador2016,NA,Ecuador,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_ecuador2016,NA,http://datasets.americasbarometer.org/database/files/1061044693Ecuador%20LAPOP%20AmericasBarometer%202016-17%20V1.0_W.dta,NA,NA,NA
106,amb_ecuador2018,NA,Ecuador,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_ecuador2018,NA,http://datasets.americasbarometer.org/database/files/Ecuador%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Ecuador%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,NA,NA
107,amb_ecuador2021,NA,Ecuador,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_ecuador2021,NA,http://datasets.americasbarometer.org/database/files/Ecuador%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABEcu2021-Ecuador-Questionnaire-v17.5.3.3-Spa-210602-W.pdf,NA,NA
108,amb_elsalvador2016,NA,El Salvador,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_elsalvador2016,NA,http://datasets.americasbarometer.org/database/files/381267663ElSalvador%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
109,amb_elsalvador2018,NA,El Salvador,NA,NA,NA,2018,NA,NA,wt,misc,amb,amb_elsalvador2018,NA,http://datasets.americasbarometer.org/database/files/ElSalvador%20LAPOP%20AmericasBarometer%202018%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ElSalvador%20LAPOP%20AmericasBarometer%202018_Codebook_v1.0_W.pdf,NA,NA
110,amb_elsalvador2021,NA,El Salvador,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_elsalvador2021,NA,http://datasets.americasbarometer.org/database/files/ElSalvador%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABSlv2021-El-Salvador-Questionnaire-v17.4.4.0-Spa-210502-W.pdf,NA,NA
111,amb_grenada2016,NA,Grenada,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_grenada2016,NA,http://datasets.americasbarometer.org/database/files/400479132Grenada%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
112,amb_guatemala2016,NA,Guatemala,NA,NA,NA,2017,NA,NA,wt,misc,amb,amb_guatemala2016,NA,http://datasets.americasbarometer.org/database/files/823416394Guatemala%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,NA,NA,NA
113,amb_guatemala2018,NA,Guatemala,NA,NA,NA,2019,NA,NA,wt,misc,amb,amb_guatemala2018,NA,http://datasets.americasbarometer.org/database/files/Guatemala%20LAPOP%20AmericasBarometer%202019%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/Guatemala%20LAPOP%20AmericasBarometer%202019_Codebook_v1.0_W.pdf,NA,NA
114,amb_guatemala2021,NA,Guatemala,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_guatemala2021,NA,http://datasets.americasbarometer.org/database/files/Guatemala%20LAPOP%20AmericasBarometer%202021%20v1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABGtm2021-Guatemala-Questionnaire-v17.5.4.1-Spa-210525-W.pdf,NA,NA
115,amb_guyana2016,NA,Guyana,NA,NA,NA,2016,NA,NA,wt,misc,amb,amb_guyana2016,NA,http://datasets.americasbarometer.org/database/files/1740874324Guyana%20LAPOP%20AmericasBarometer%202016%20V1.0_W.dta,NA,NA,NA
116,amb_guyana2021,NA,Guyana,NA,NA,NA,2021,NA,NA,wt,misc,amb,amb_guyana2021,NA,http://datasets.americasbarometer.org/database/files/1740874324Guyana%20LAPOP%20AmericasBarometer%202021%20V1.0_W.dta,http://datasets.americasbarometer.org/database/files/ABGuy2021-Guyana-Questionnaire-v17.5.4.0-Eng-210517_W.pdf,NA,NA
117,amb_haiti2016,NA,Haiti,NA,NA,NA,2017,NA,NA,wt,misc,amb,amb_haiti2016,NA,http://datasets.americasbarometer.org/database/files/544180976Haiti%20LAPOP%20AmericasBarometer%202017%20V1.0_W.dta,NA,NA,NA
