,survey,cy_var,country_var,cc_origin,cc_dict,cc_match,year,year_var,year_dict,wt,archive,surv_program,file_id,subfile,data_link,cb_link,read_ascii_args
136,asiab2004,,country,,,,2004,,,weight,icpsr,asiab,ICPSR_20420,,,,
137,asiab2005,,country,,,,2005,,,weight,misc,asiab,asiabarometer2005,,,,
138,asiab2006,,country,,,,2006,,,,misc,asiab,asiabarometer2006,,,,
139,asiab2007,,country,,,,2007,,,weigh,misc,asiab,asiabarometer2007,,,,
140,asianb1,,country,,,,NA,yrsurvey,,w_all,misc,asianb,asianb1,,,,
141,asianb2,,country,,,,NA,,"tibble(orig=c(""""Japan"""",""""Hong Kong"""",""""Korea"""",""""Mainland China"""",""""Mongolia"""",""""Philippines"""",""""Taiwan"""",""""Thailand"""",""""Indonesia"""",""""Singapore"""",""""Vietnam"""",""""Cambodia"""",""""Malaysia""""),year=c(2007,2007,2006,2008,2006,2005,2006,2006,2006,2006,2005,2008,2007))",w_all,misc,asianb,asianb2,,,,
142,asianb3,,country,,,,NA,ir9,,allweight,misc,asianb,asianb3,,,,
143,asianb4,,country,,,,NA,year,,w,misc,asianb,asianb4,,,,
144,aussa2003,,Australia,,,,2003,,,,dataverse,aussa,aussa2003,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/8VUHRY,,
145,aussa2005,,Australia,,,,2005,,,,dataverse,aussa,aussa2005,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/SRXRC6,,
146,aussa2007,,Australia,,,,2007,,,v656,dataverse,aussa,aussa2007,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/1UPIZO,,
147,aussa2009,,Australia,,,,2009,,,v488,dataverse,aussa,aussa2009,,https://dataverse.ada.edu.au/dataset.xhtml?persistentId=doi:10.4225/87/IH68HQ,,
148,autnes2017,,Austria,,,,2017,,,"wt <- rowMeans(t_data %>% select(contains(""""weightd"""")), na.rm = TRUE)",dataverse,autnes,autnes2017,,https://data.aussda.at/dataset.xhtml?persistentId=doi:10.11587/I7QIYJ,,
149,bges1992,,United Kingdom,,,,1992,,,wtfactor,ukds,bges,2981,,,,
150,bges1997,,United Kingdom,,,,1997,,,wtallgb,icpsr,bges,ICPSR_02615,,,,
151,brdir199109,,Brazil,,,,1991,,,peso,roper,datafolha,BRDIR1991-1033,,,,
152,brdir199309,,Brazil,,,,1993,,,pesoe,roper,datafolha,BRDIR1993-00335,,,,
153,brdir199503,,Brazil,,,,1995,,,pesoest,roper,datafolha,BRDIR1995-00405,,,,
154,bsa_combo,,United Kingdom,,,,NA,year,,wt <- t_data$wtfactor; wt[wt > 10000] <- 1,icpsr,bsa,ICPSR_03095,,,,
155,bsa1993,,United Kingdom,,,,1993,,,wtfactor,icpsr,bsa,ICPSR_03096,,,,
156,bsa1994,,United Kingdom,,,,1994,,,wtfactor,icpsr,bsa,ICPSR_03097,,,,
157,bsa1995,,United Kingdom,,,,1995,,,wtfactor,icpsr,bsa,ICPSR_03098,,,,
